prop_stdl_>_std,prop_ho_>_std,prop_hol_>_std,prop_point_>_std,prop_spring_>_std,N,M,K1,K2,trainsize,rep
0.397544128933231,0.6178050652340752,0.43054489639293936,0.1343054489639294,0.4336147352264006,1000,1500,5,7,0.13182567385564073,6
0.28402366863905326,0.5976331360946746,0.3076923076923077,0.2781065088757396,0.28994082840236685,1000,1000,6,9,0.8317637711026709,11
0.6875687568756875,0.28602860286028603,0.6908690869086909,0.6094609460946094,0.6897689768976898,1000,1000,2,4,0.09120108393559097,1
0.5993265993265994,0.35129068462401797,0.6083052749719416,0.45342312008978675,0.6026936026936027,1000,1000,2,5,0.1096478196143185,15
0.5026680896478122,0.6456776947705443,0.5208110992529349,0.07790821771611527,0.5176093916755603,1000,1000,6,9,0.06309573444801933,1
0.8103092783505155,0.17800687285223368,0.813745704467354,0.7745704467353952,0.8206185567010309,1000,1500,3,3,0.03019951720402016,5
0.28017718715393136,0.5614617940199336,0.3122923588039867,0.3222591362126246,0.3289036544850498,1000,1500,5,7,0.3981071705534973,0
0.6139755766621439,0.5278154681139756,0.6126187245590231,0.24491180461329715,0.6451831750339213,1000,1500,8,8,0.017378008287493755,10
0.49857752489331436,0.6038406827880513,0.5099573257467994,0.1301564722617354,0.5334281650071123,1000,1500,5,7,0.06309573444801933,15
0.8855670103092783,0.13814432989690723,0.8824742268041237,0.8443298969072165,0.8649484536082475,1000,1000,2,4,0.03019951720402016,5
0.3901345291479821,0.5022421524663677,0.4110612855007474,0.32884902840059793,0.414050822122571,1000,1000,2,5,0.3311311214825911,2
0.5031358885017422,0.6550522648083623,0.5198606271777003,0.047386759581881537,0.5442508710801394,1000,1500,8,8,0.04365158322401661,1
0.4263565891472868,0.4274640088593577,0.42414174972314506,0.3521594684385382,0.3643410852713178,1000,1500,3,3,0.3981071705534973,5
0.3829623944742901,0.6431312356101304,0.4174980813507291,0.1273983115886416,0.43745203376822717,1000,1500,6,8,0.13182567385564073,8
0.5718175629680055,0.5241660993873384,0.5697753573859768,0.21851599727705923,0.5895166780122533,1000,1500,8,8,0.020892961308540396,11
0.3327571305099395,0.5583405358686258,0.3794295592048401,0.22817631806395852,0.3742437337942956,1000,1500,5,7,0.22908676527677735,12
0.378698224852071,0.47928994082840237,0.33136094674556216,0.3076923076923077,0.33136094674556216,1000,1000,2,5,0.8317637711026709,17
0.7430696416497633,0.3373901284651792,0.742393509127789,0.5354969574036511,0.7518593644354293,1000,1500,5,7,0.014454397707459272,15
0.3962962962962963,0.7037037037037037,0.43333333333333335,0.11604938271604938,0.47160493827160493,1000,1000,6,10,0.19054607179632474,16
0.42778288868445263,0.47562097516099355,0.43054277828886844,0.38546458141674333,0.39558417663293466,1000,1500,3,3,0.2754228703338166,18
0.4968641114982578,0.6069686411149826,0.5226480836236934,0.08501742160278745,0.5505226480836237,1000,1500,6,8,0.04365158322401661,1
0.4831223628691983,0.6044303797468354,0.48523206751054854,0.10548523206751055,0.5126582278481012,1000,1000,6,9,0.05248074602497726,10
0.6680161943319838,0.3967611336032389,0.6639676113360324,0.4001349527665317,0.6842105263157895,1000,1500,8,8,0.012022644346174132,16
0.8666666666666667,0.12923076923076923,0.8666666666666667,0.8092307692307692,0.8830769230769231,1000,1000,2,5,0.025118864315095794,8
0.7555555555555555,0.2868686868686869,0.7565656565656566,0.5585858585858586,0.7606060606060606,1000,1000,6,10,0.01,17
0.20408163265306123,0.5667189952904239,0.24489795918367346,0.2904238618524333,0.24960753532182103,1000,1500,6,8,0.5754399373371569,6
0.2777777777777778,0.6302681992337165,0.3314176245210728,0.3371647509578544,0.3563218390804598,1000,1000,6,9,0.47863009232263826,18
0.6544962812711291,0.4861392832995267,0.6484110885733604,0.3076402974983097,0.6240703177822853,1000,1500,8,8,0.014454397707459272,4
0.6235897435897436,0.4082051282051282,0.6174358974358974,0.3507692307692308,0.6246153846153846,1000,1000,6,9,0.025118864315095794,17
0.9218855218855219,0.07205387205387205,0.9218855218855219,0.9218855218855219,0.9629629629629629,1000,1500,3,3,0.01,13
0.39717425431711145,0.434850863422292,0.37205651491365777,0.3453689167974882,0.33751962323390894,1000,1500,3,3,0.5754399373371569,4
0.33183856502242154,0.6696562032884903,0.3841554559043348,0.28400597907324365,0.3901345291479821,1000,1000,6,10,0.3311311214825911,15
0.36419753086419754,0.6851851851851852,0.42592592592592593,0.1382716049382716,0.45555555555555555,1000,1000,6,10,0.19054607179632474,15
0.5760719225449515,0.5062240663900415,0.5774550484094052,0.2330567081604426,0.58298755186722,1000,1500,5,7,0.03630780547701014,11
0.7530364372469636,0.3016194331983806,0.7540485829959515,0.5566801619433198,0.7874493927125507,1000,1000,6,9,0.012022644346174132,18
0.75,0.21518987341772153,0.7552742616033755,0.6476793248945147,0.7489451476793249,1000,1000,2,5,0.05248074602497726,19
0.5154711673699015,0.639943741209564,0.5358649789029536,0.06962025316455696,0.5246132208157525,1000,1500,6,8,0.05248074602497726,9
0.5725915875169606,0.4864314789687924,0.5719131614654003,0.2198100407055631,0.5990502035278155,1000,1500,8,8,0.017378008287493755,0
0.233201581027668,0.5019762845849802,0.25296442687747034,0.25691699604743085,0.18972332015810275,1000,1500,8,8,0.8317637711026709,9
0.2447058823529412,0.5764705882352941,0.2847058823529412,0.26588235294117646,0.25176470588235295,1000,1000,6,9,0.5754399373371569,11
0.7049847405900305,0.44354018311291965,0.7019328585961343,0.3967446592065107,0.7131230925737538,1000,1000,6,10,0.017378008287493755,5
0.6997971602434077,0.34685598377281945,0.7018255578093306,0.4685598377281947,0.7373225152129818,1000,1000,6,9,0.014454397707459272,16
0.9259634888438134,0.06693711967545639,0.9259634888438134,0.9137931034482759,0.9421906693711968,1000,1000,2,4,0.014454397707459272,1
