newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.5065,0.491,0.4925,0.317,0.317,0.3095,0.3095,0.3135,817
0.4815,0.486,0.483,0.337,0.337,0.341,0.341,0.3365,753
0.4945,0.51,0.4945,0.3,0.3,0.318,0.318,0.318,191
0.506,0.4945,0.4965,0.331,0.331,0.3375,0.3375,0.3385,173
0.526,0.483,0.4845,0.307,0.307,0.34,0.34,0.319,219
0.4895,0.49,0.4785,0.3175,0.3175,0.3265,0.3265,0.3225,994
0.494,0.5085,0.4905,0.308,0.308,0.3275,0.3275,0.3195,457
0.516,0.5125,0.5185,0.321,0.321,0.3495,0.3495,0.331,483
0.517,0.522,0.516,0.297,0.297,0.3175,0.3175,0.3115,162
0.4975,0.526,0.508,0.3295,0.3295,0.327,0.327,0.338,293
0.4915,0.507,0.5,0.324,0.324,0.3425,0.3425,0.337,39
0.5115,0.5105,0.502,0.3125,0.3125,0.3325,0.3325,0.3195,538
0.488,0.489,0.479,0.311,0.311,0.3115,0.3115,0.3185,275
0.5,0.495,0.504,0.306,0.306,0.3295,0.3295,0.3195,31
0.4895,0.503,0.5085,0.3165,0.3165,0.332,0.332,0.3235,200
0.4995,0.5065,0.5135,0.291,0.291,0.3075,0.3075,0.318,786
0.506,0.5085,0.509,0.3145,0.3145,0.315,0.315,0.3265,693
0.5025,0.498,0.4875,0.3125,0.3125,0.3255,0.3255,0.3325,719
0.498,0.506,0.5125,0.315,0.315,0.322,0.322,0.3195,939
0.485,0.4925,0.517,0.295,0.295,0.3015,0.3015,0.3175,751
0.529,0.4945,0.499,0.305,0.305,0.3175,0.3175,0.322,668
0.503,0.4965,0.4875,0.317,0.317,0.3215,0.3215,0.332,8
0.51,0.5185,0.5025,0.3165,0.3165,0.328,0.328,0.331,878
0.5065,0.495,0.4995,0.3065,0.3065,0.316,0.316,0.3155,568
0.4865,0.496,0.4935,0.2945,0.2945,0.307,0.307,0.3215,411
0.5005,0.48,0.4935,0.323,0.323,0.328,0.328,0.3405,928
0.495,0.5115,0.491,0.329,0.329,0.3515,0.3515,0.3345,381
0.491,0.4865,0.501,0.303,0.303,0.3285,0.3285,0.3225,825
0.497,0.5085,0.511,0.3175,0.3175,0.333,0.333,0.326,780
0.507,0.4965,0.505,0.304,0.304,0.3175,0.3175,0.3215,502
0.493,0.4805,0.479,0.3115,0.3115,0.3235,0.3235,0.3285,263
0.495,0.4955,0.488,0.3255,0.3255,0.3205,0.3205,0.3285,621
0.489,0.497,0.483,0.3065,0.3065,0.326,0.326,0.3365,243
0.4815,0.4725,0.481,0.31,0.31,0.3225,0.3225,0.3165,982
0.513,0.5035,0.5085,0.3165,0.3165,0.332,0.332,0.3195,800
0.4935,0.4955,0.5005,0.3155,0.3155,0.334,0.334,0.319,552
0.5375,0.504,0.5095,0.326,0.326,0.342,0.342,0.3315,103
0.502,0.511,0.4895,0.321,0.321,0.3335,0.3335,0.318,634
0.499,0.4955,0.5015,0.325,0.325,0.3305,0.3305,0.322,534
0.483,0.4855,0.4835,0.3175,0.3175,0.3355,0.3355,0.329,936
0.4835,0.511,0.495,0.3225,0.3225,0.331,0.331,0.3385,321
0.4935,0.4935,0.5115,0.327,0.327,0.3395,0.3395,0.322,91
0.4925,0.4875,0.487,0.311,0.311,0.318,0.318,0.31,286
0.5005,0.5075,0.4925,0.323,0.323,0.3335,0.3335,0.341,985
0.5085,0.5075,0.492,0.3155,0.3155,0.3325,0.3325,0.322,882
0.4915,0.486,0.5035,0.3245,0.3245,0.3275,0.3275,0.337,240
0.474,0.492,0.511,0.318,0.318,0.332,0.332,0.3265,158
0.5035,0.504,0.4885,0.2985,0.2985,0.3135,0.3135,0.322,850
0.4865,0.481,0.493,0.3185,0.3185,0.34,0.34,0.3305,691
0.499,0.5045,0.516,0.305,0.305,0.328,0.328,0.3225,987
0.4985,0.4855,0.4995,0.306,0.306,0.322,0.322,0.3195,484
0.4825,0.4985,0.486,0.303,0.303,0.325,0.325,0.3085,742
0.4945,0.4995,0.4735,0.306,0.306,0.32,0.32,0.33,688
0.4655,0.5065,0.4965,0.3235,0.3235,0.33,0.33,0.328,519
0.498,0.4915,0.5035,0.3075,0.3075,0.314,0.314,0.318,512
0.5055,0.4975,0.507,0.291,0.291,0.312,0.312,0.302,941
0.5255,0.5125,0.511,0.3165,0.3165,0.332,0.332,0.329,967
0.4965,0.5135,0.506,0.2975,0.2975,0.3155,0.3155,0.3165,957
0.4905,0.4835,0.502,0.3185,0.3185,0.3245,0.3245,0.3255,906
