newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.3615,0.6,0.345,0.303,0.342,0.271,0.275,0.302,67
0.338,0.6295,0.32,0.2725,0.3045,0.2455,0.252,0.2735,511
0.327,0.617,0.3195,0.2915,0.315,0.2525,0.263,0.2875,684
0.3465,0.6175,0.334,0.292,0.3265,0.242,0.2595,0.29,109
0.3475,0.6165,0.3305,0.291,0.325,0.2465,0.2575,0.2885,176
0.3505,0.611,0.331,0.2855,0.321,0.247,0.258,0.2785,891
0.36,0.605,0.3505,0.308,0.332,0.2575,0.2775,0.3,791
0.344,0.5955,0.331,0.2995,0.3455,0.2725,0.2785,0.296,817
0.3385,0.609,0.326,0.302,0.331,0.2495,0.26,0.2955,753
0.3605,0.6195,0.339,0.295,0.316,0.256,0.266,0.289,191
0.3725,0.6045,0.3445,0.308,0.319,0.25,0.2635,0.2995,173
0.3485,0.627,0.3315,0.298,0.3145,0.2565,0.262,0.2985,219
0.3415,0.6165,0.3325,0.3025,0.3295,0.2515,0.2635,0.2965,994
0.361,0.6295,0.348,0.287,0.31,0.2525,0.268,0.286,457
0.3325,0.6075,0.3185,0.2845,0.31,0.245,0.253,0.2765,483
0.293,0.631,0.2805,0.279,0.3025,0.2545,0.251,0.2715,162
0.3305,0.6165,0.319,0.292,0.3265,0.261,0.2605,0.2915,293
0.348,0.602,0.3395,0.284,0.3015,0.248,0.2575,0.2775,39
0.354,0.619,0.33,0.2885,0.3115,0.251,0.257,0.2815,538
0.3685,0.5975,0.35,0.297,0.3175,0.2595,0.264,0.294,275
0.348,0.6235,0.341,0.308,0.328,0.2685,0.2745,0.3085,31
0.364,0.616,0.346,0.299,0.329,0.2615,0.2685,0.302,200
0.346,0.6395,0.324,0.2915,0.309,0.254,0.256,0.282,786
0.364,0.612,0.3415,0.301,0.326,0.264,0.271,0.3015,693
0.323,0.63,0.31,0.2825,0.3105,0.246,0.2495,0.2705,719
0.3485,0.6335,0.331,0.2915,0.3185,0.256,0.2595,0.286,939
0.3575,0.6175,0.34,0.308,0.3295,0.269,0.273,0.304,751
0.36,0.607,0.3425,0.298,0.321,0.261,0.271,0.294,668
0.348,0.61,0.329,0.3025,0.332,0.268,0.2745,0.3015,8
0.336,0.6145,0.323,0.2915,0.32,0.2525,0.253,0.2845,878
0.354,0.611,0.345,0.302,0.325,0.268,0.2705,0.3,568
0.3165,0.631,0.3065,0.281,0.3125,0.256,0.261,0.275,411
0.35,0.598,0.34,0.3015,0.3345,0.26,0.2785,0.299,928
0.3375,0.6195,0.3265,0.2895,0.3235,0.2505,0.2665,0.284,381
0.336,0.6085,0.3315,0.304,0.3355,0.275,0.2815,0.298,825
0.3385,0.6395,0.3135,0.288,0.3085,0.257,0.2565,0.2865,780
0.343,0.6185,0.3175,0.2845,0.3105,0.257,0.263,0.281,502
0.349,0.6245,0.318,0.282,0.311,0.251,0.2505,0.2775,263
0.3565,0.6145,0.34,0.326,0.3465,0.2835,0.285,0.317,621
0.344,0.607,0.332,0.301,0.3315,0.2695,0.27,0.2955,243
0.3515,0.625,0.329,0.287,0.321,0.267,0.268,0.282,982
0.3535,0.649,0.3355,0.2815,0.2865,0.231,0.2485,0.27,800
0.3675,0.633,0.341,0.2945,0.325,0.2575,0.2625,0.2975,552
0.3355,0.6445,0.3235,0.297,0.3185,0.2695,0.267,0.285,103
0.3675,0.5945,0.3545,0.317,0.3535,0.2755,0.2845,0.316,634
0.363,0.6175,0.3475,0.309,0.3355,0.2735,0.285,0.3075,534
0.3515,0.6065,0.3335,0.3035,0.3165,0.255,0.2775,0.2965,936
0.333,0.6165,0.3075,0.2925,0.32,0.258,0.2645,0.2895,321
0.343,0.586,0.3385,0.32,0.3445,0.2835,0.285,0.3165,91
0.342,0.6015,0.334,0.312,0.341,0.273,0.28,0.3125,286
0.3465,0.6145,0.3295,0.288,0.3155,0.2545,0.2615,0.2875,985
0.3655,0.6065,0.3515,0.3,0.3275,0.2685,0.27,0.301,882
0.335,0.6215,0.3125,0.2895,0.315,0.244,0.252,0.287,240
0.3335,0.6265,0.3275,0.2845,0.3215,0.258,0.259,0.286,158
0.349,0.619,0.3335,0.278,0.3085,0.2345,0.245,0.2715,850
0.362,0.6135,0.3425,0.296,0.314,0.243,0.258,0.283,691
0.339,0.619,0.3185,0.2925,0.3165,0.244,0.2605,0.2815,987
0.3605,0.612,0.3315,0.3105,0.343,0.2775,0.2795,0.3085,484
0.3525,0.6,0.3385,0.2855,0.3255,0.247,0.259,0.2835,742
0.358,0.621,0.347,0.304,0.3285,0.255,0.266,0.295,688
0.353,0.63,0.337,0.3005,0.3195,0.266,0.27,0.299,519
0.3345,0.608,0.321,0.2865,0.3145,0.257,0.263,0.2835,512
0.342,0.615,0.332,0.2835,0.308,0.2385,0.247,0.2755,941
0.3435,0.6425,0.323,0.2775,0.3045,0.244,0.249,0.2755,967
0.3485,0.613,0.329,0.2835,0.3055,0.239,0.2515,0.2765,957
0.331,0.6295,0.3135,0.2865,0.31,0.245,0.255,0.282,906
0.337,0.6135,0.325,0.2675,0.2915,0.229,0.2425,0.27,598
0.3515,0.62,0.3435,0.306,0.3365,0.2645,0.282,0.3045,267
0.3595,0.6375,0.3375,0.272,0.3025,0.241,0.2445,0.269,276
0.353,0.6125,0.328,0.2845,0.319,0.248,0.254,0.275,195
0.3435,0.6135,0.326,0.297,0.337,0.266,0.2715,0.294,608
0.3465,0.632,0.3215,0.2985,0.3305,0.2635,0.2645,0.2925,201
0.3195,0.6215,0.311,0.2905,0.327,0.264,0.27,0.289,230
0.3415,0.6135,0.3245,0.2975,0.316,0.2555,0.263,0.297,612
0.3705,0.62,0.3425,0.3035,0.33,0.2635,0.2695,0.295,284
0.3475,0.596,0.337,0.316,0.344,0.275,0.286,0.312,755
0.3545,0.5925,0.3445,0.309,0.34,0.2755,0.2805,0.306,190
0.344,0.625,0.321,0.2745,0.3035,0.251,0.2505,0.274,787
0.341,0.6145,0.3315,0.2795,0.306,0.2495,0.257,0.2805,858
0.3565,0.606,0.3455,0.294,0.312,0.252,0.264,0.2895,575
0.345,0.625,0.3285,0.287,0.3095,0.2475,0.2565,0.284,41
0.3535,0.598,0.3395,0.304,0.333,0.28,0.283,0.304,192
0.332,0.634,0.317,0.287,0.3155,0.239,0.26,0.2855,493
0.336,0.63,0.313,0.2735,0.294,0.246,0.2485,0.272,647
0.344,0.6,0.3405,0.2995,0.3325,0.266,0.277,0.3015,682
0.3435,0.614,0.3265,0.28,0.3005,0.248,0.254,0.2765,363
0.335,0.6015,0.3225,0.2965,0.328,0.2635,0.2685,0.2915,649
0.3455,0.6135,0.325,0.2755,0.309,0.24,0.251,0.278,853
0.332,0.6245,0.324,0.278,0.3075,0.262,0.2565,0.272,80
0.359,0.6005,0.3495,0.309,0.331,0.2665,0.271,0.304,877
0.363,0.611,0.348,0.2985,0.317,0.2525,0.2655,0.293,236
0.322,0.614,0.315,0.2885,0.319,0.259,0.267,0.286,87
0.356,0.6165,0.343,0.3015,0.3305,0.2645,0.2655,0.295,246
0.352,0.596,0.3405,0.3115,0.337,0.2725,0.278,0.305,165
0.341,0.6165,0.3215,0.3005,0.3265,0.264,0.267,0.299,826
0.328,0.6075,0.3115,0.2845,0.3155,0.2465,0.261,0.282,204
0.346,0.621,0.3355,0.292,0.309,0.244,0.261,0.2885,43
0.3615,0.6145,0.344,0.2915,0.3195,0.248,0.2595,0.2875,281
0.346,0.6145,0.3305,0.296,0.314,0.256,0.2575,0.2875,265
0.307,0.6325,0.296,0.2785,0.311,0.2585,0.2595,0.2785,768
0.345,0.61,0.34,0.279,0.3025,0.229,0.243,0.268,539
0.3705,0.6205,0.3505,0.298,0.3205,0.2555,0.2555,0.2875,4
