HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-0.990641,-0.833239,-0.957256,-0.834121,1000,100000,4,1,12
-1.03185,-0.888813,-0.999476,-0.889852,1000,29763,4,1,32
-1.57248,-1.47472,-1.57268,-1.5339,1000,1000,6,1,13
-0.585179,-0.585179,-0.585179,-0.585179,1000,2069,2,1,43
-1.93449,-1.42095,-1.85124,-1.42355,1000,78475,10,1,33
-0.535317,-0.535317,-0.535317,-0.535317,1000,4281,2,0,1
-0.474138,-0.474138,-0.474138,-0.474138,1000,8858,2,0,3
-1.90075,-1.43273,-1.82319,-1.4398,1000,18329,10,1,22
-1.72641,-1.33432,-1.65703,-1.34384,1000,14384,8,1,6
-1.65558,-1.2386,-1.58493,-1.23985,1000,78475,8,1,9
-1.12771,-1.03223,-1.10607,-1.03452,1000,2069,4,1,15
-0.539299,-0.539299,-0.539299,-0.539299,1000,4281,2,0,47
-1.2595,-1.43268,-1.25435,-1.44878,1000,2069,8,0,21
-0.422802,-0.422802,-0.422802,-0.422802,1000,37926,2,0,11
-0.43413,-0.43413,-0.43413,-0.43413,1000,11288,2,0,16
-0.873592,-0.892868,-0.874237,-0.894529,1000,18329,4,0,20
-1.29091,-1.43493,-1.29096,-1.46331,1000,2069,8,0,46
-0.519931,-0.519931,-0.519931,-0.519931,1000,4281,2,1,22
-1.11362,-1.12888,-1.11431,-1.13253,1000,29763,6,0,6
-1.22747,-1.35347,-1.2365,-1.39018,1000,2069,6,0,35
-0.425219,-0.425219,-0.425219,-0.425219,1000,37926,2,0,22
-1.56437,-1.42381,-1.53804,-1.45447,1000,1000,6,1,28
-1.00352,-0.859551,-0.969693,-0.86245,1000,29763,4,1,17
-1.8049,-1.50991,-1.73694,-1.54957,1000,3359,8,1,22
-1.30284,-1.33339,-1.30304,-1.35114,1000,11288,8,0,24
-1.66795,-1.28136,-1.59712,-1.29968,1000,11288,8,1,46
