HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-0.539299,-0.539299,-0.539299,-0.539299,1000,4281,2,0,47
-7.54776,-8.87263,-7.59768,-9.27785,1000,2069,8,0,21
-0.422802,-0.422802,-0.422802,-0.422802,1000,37926,2,0,11
-0.43413,-0.43413,-0.43413,-0.43413,1000,11288,2,0,16
-2.11683,-2.19954,-2.1196,-2.21686,1000,18329,4,0,20
-7.61999,-8.93084,-7.67893,-9.39655,1000,2069,8,0,46
-0.519931,-0.519931,-0.519931,-0.519931,1000,4281,2,1,22
-4.48351,-4.62411,-4.48893,-4.67753,1000,29763,6,0,6
-4.78666,-5.5023,-4.85008,-5.70837,1000,2069,6,0,35
-0.425219,-0.425219,-0.425219,-0.425219,1000,37926,2,0,22
-6.97503,-7.04909,-7.17589,-7.65699,1000,1000,6,1,28
-2.92578,-3.5638,-2.93343,-3.72486,1000,29763,4,1,17
-10.6543,-12.4959,-10.7088,-14.5569,1000,3359,8,1,22
-7.48062,-8.05143,-7.49581,-8.36638,1000,11288,8,0,24
-10.3905,-13.0973,-10.4063,-14.7637,1000,11288,8,1,46
-2.09618,-2.21886,-2.10137,-2.25092,1000,8858,4,0,8
