newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
2.674995444116122e-10,1.4853285003984716e-10,1.4167845677004276e-10,-0.04068607994111635,-0.04068607994111635,-0.9227634940369335,-0.9227634940369335,-1.7969882042563057,8,0.5754
8.19538571095069e-11,-1.0866944248836529e-11,-4.352167281759058e-11,-0.0231296258106615,-0.0231296258106615,-1.1157408939920257,-1.1157408939920257,-2.7364900967641166,12,0.4786
-2.617160010047046e-10,-8.66369689058026e-11,-9.036523073025728e-11,-0.0376737414468578,-0.0376737414468578,-0.8795238519099834,-0.8795238519099834,-1.9535281733228176,250,0.5754
-3.6360544174435836e-11,1.9773757787105444e-11,5.2640334506587907e-11,-0.019210922953619324,-0.019210922953619324,-0.6306848231682897,-0.6306848231682897,-1.9321120331705528,213,0.0363
2.2411283352377814e-12,2.1041975738847428e-11,3.3930500034483444e-11,-0.004533685688277138,-0.004533685688277138,-0.7728077813211941,-0.7728077813211941,-2.285926072459036,226,0.0437
-1.872490719709682e-11,4.711888736117582e-11,1.2188781280943458e-11,-0.0005881825983312075,-0.0005881825983312075,-0.4257075521716278,-0.4257075521716278,-1.2760436876535133,18,0.0251
1.1266136406824742e-11,-4.2823595832536906e-11,-6.002463404890653e-11,-0.008741766944654762,-0.008741766944654762,-1.7357695568917182,-1.7357695568917182,-5.049883880930829,211,0.1585
8.1206200308306e-11,5.943343343514651e-11,-1.5466636246453126e-13,-0.0023728984758492086,-0.0023728984758492086,-0.22691632241478374,-0.22691632241478374,-0.5930221535780814,44,0.0145
-9.939433616284894e-11,-7.581439779894611e-11,1.8809717070576732e-11,-0.00487643532228046,-0.00487643532228046,-1.6954250478597306,-1.6954250478597306,-5.091785966283719,72,0.1905
4.922421635456793e-12,3.1872694078085224e-12,1.734504362481394e-12,-0.0001991306683540995,-0.0001991306683540995,-0.7667776437173136,-0.7667776437173136,-2.253189315052089,127,0.0437
1.1015116577536949e-11,2.731402485348291e-10,3.2606487163731773e-10,-0.01579336092374002,-0.01579336092374002,-1.6280522880576969,-1.6280522880576969,-4.163162493795688,154,0.3311
6.159108054569585e-11,-1.080854755080214e-10,-8.833289177051618e-11,-0.0094834491137848,-0.0094834491137848,-1.740721640353251,-1.740721640353251,-4.411542447299338,150,0.2754
1.3207744653849743e-10,-7.161473589300015e-11,8.52507343073592e-11,-0.0005237470316453264,-0.0005237470316453264,-1.1345348756911025,-1.1345348756911025,-3.665519081638708,185,0.0759
1.7509662851172832e-10,1.993380341214023e-10,1.747565461737513e-10,-0.010486216549380646,-0.010486216549380646,-1.4125984430792033,-1.4125984430792033,-4.726419659717271,61,0.1096
-1.0921047949778335e-10,-9.189965942198937e-11,-8.469806120341855e-11,-0.003041590072422863,-0.003041590072422863,-1.4721903292211511,-1.4721903292211511,-4.465817745109055,97,0.1096
-1.6270717929441437e-10,-7.097018344259158e-11,-1.1130217971848809e-10,-0.018001944711562624,-0.018001944711562624,-1.254863012722073,-1.254863012722073,-3.4155170771469896,232,0.3981
9.840652147614976e-11,-3.131629381426005e-11,5.1084651632133676e-11,-0.014586982814143473,-0.014586982814143473,-1.5271109093137338,-1.5271109093137338,-3.916797563022654,183,0.3311
1.177999751714479e-11,3.161635403212042e-11,5.86434782115941e-11,-0.01714827462458585,-0.01714827462458585,-0.7719072288552983,-0.7719072288552983,-2.303209904783123,232,0.0437
-2.2482721055826988e-10,-5.0916447956006756e-11,2.0978011292418102e-11,-0.019326218544780973,-0.019326218544780973,-1.322701554296732,-1.322701554296732,-3.459357424311644,88,0.3981
-1.030366841501723e-10,-9.10065654045795e-11,-1.4014797280485826e-10,-0.002881292170372342,-0.002881292170372342,-0.7387540331665817,-0.7387540331665817,-2.3777623075307597,176,0.0437
5.950917371875983e-11,-1.1136889640365131e-10,2.4939156625838645e-10,-0.044820367316007484,-0.044820367316007484,-0.8925028064633267,-0.8925028064633267,-2.2228972197378196,55,0.5754
4.102522715482787e-12,1.8851059490054723e-11,-3.277137765421028e-11,-0.006716676038953403,-0.006716676038953403,-0.15457846871898678,-0.15457846871898678,-0.19990120384777757,225,0.0100
4.65800413715053e-11,-1.412446330953189e-12,-7.391732785012951e-11,-0.0023439357149586553,-0.0023439357149586553,-0.7449167115193372,-0.7449167115193372,-2.3516601464133684,157,0.0437
-4.19018857142922e-11,-6.216592921393307e-11,1.3524365104639657e-10,-0.0023403632299437444,-0.0023403632299437444,-0.9158372929815329,-0.9158372929815329,-3.4473779143316503,110,0.0631
-1.4060106156685674e-11,1.608335804485872e-11,2.0981587436395443e-11,-0.0076412712749602514,-0.0076412712749602514,-0.32788647873652627,-0.32788647873652627,-0.955530466425579,28,0.0209
-1.5432912766643863e-10,1.2738753915816634e-10,-8.174005356191173e-11,-0.013308345346275752,-0.013308345346275752,-1.4879360370795875,-1.4879360370795875,-4.464658283842696,182,0.3311
-2.8014383735688093e-11,1.4127610337274096e-10,1.3919019369272275e-10,-0.0016677198084295267,-0.0016677198084295267,-1.2978146260711085,-1.2978146260711085,-4.096913341645938,11,0.0912
-1.1338804478958103e-10,-1.5110768424970677e-10,-9.555691935256603e-11,-0.0005505769214611435,-0.0005505769214611435,-0.16320854184656405,-0.16320854184656405,-0.09039845291618455,201,0.0100
1.6894495229392243e-10,2.381182201179783e-11,9.343169029612488e-11,-0.004718512418027517,-0.004718512418027517,-1.6916668355208566,-1.6916668355208566,-5.126410474051548,117,0.1905
5.4065421260621185e-11,-6.436943021368075e-11,3.3196426965611295e-11,-0.008950665830455656,-0.008950665830455656,-1.5399040085012188,-1.5399040085012188,-4.912833237578531,238,0.1318
-1.1353864893366985e-10,-5.510974921494951e-11,4.0665115226254316e-11,-0.019093932338807747,-0.019093932338807747,-1.507851290983877,-1.507851290983877,-4.053194997786767,93,0.3311
-4.569080837895025e-11,-2.2945927684593145e-10,-4.293041137186494e-11,-0.004622672162041621,-0.004622672162041621,-1.5197815547719389,-1.5197815547719389,-5.027348061561338,115,0.1318
-3.0407030559687605e-11,4.5940121666414846e-11,-2.9876435290242376e-11,-0.0062213884408079114,-0.0062213884408079114,-1.200578464529938,-1.200578464529938,-3.711773662999323,73,0.0759
-8.010084817597058e-11,-7.838947232055688e-11,-5.7038674558001005e-11,-0.0037837574940907774,-0.0037837574940907774,-0.8876673644546175,-0.8876673644546175,-2.7378337614412187,109,0.0525
2.5347455134778137e-10,4.840830396303064e-12,1.3905242223684302e-10,-0.0477714034360681,-0.0477714034360681,-0.627585944117783,-0.627585944117783,-0.7478883332059311,208,0.8318
-6.352138900348555e-12,2.97796698456849e-12,-7.794438301042572e-12,-0.00035510550705668915,-0.00035510550705668915,-0.20393447626984773,-0.20393447626984773,-0.3417972111778924,46,0.0120
1.1168572288680396e-10,2.09626453029752e-11,7.157114647343779e-11,-0.00459765708748842,-0.00459765708748842,-0.6120095631278616,-0.6120095631278616,-1.9942037882689907,67,0.0363
6.494508117483684e-11,3.492317312566746e-11,5.195249648620259e-11,-0.008132157692156687,-0.008132157692156687,-1.5768574765245178,-1.5768574765245178,-4.855819587822799,96,0.1318
1.5255990856427725e-11,4.1041344028185166e-11,8.226379092604404e-11,-0.0036766906902743575,-0.0036766906902743575,-0.8596328343330157,-0.8596328343330157,-2.768362742045107,115,0.0525
9.282439336429391e-12,1.4503324155397717e-11,-5.209760884485791e-11,-0.010753210819994096,-0.010753210819994096,-0.5316484051100947,-0.5316484051100947,-1.4526031121897867,187,0.0302
1.542356003221244e-11,1.3344750172241455e-11,7.372888919717385e-11,-0.006626828134651563,-0.006626828134651563,-1.2832966600524,-1.2832966600524,-4.174896848919677,146,0.0912
8.908905929676927e-12,1.0987545883277707e-10,-4.7851875429361433e-11,-0.018685066437999717,-0.018685066437999717,-0.4237741869253992,-0.4237741869253992,-1.2012165747650854,5,0.0251
