newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-0.33419550229394945,-0.10914769673734442,-0.41380086801819094,-0.5093543711759546,-0.1378291701311251,-1.0067192762830062,-0.7854444006542344,-0.5666545185370335,14,27
-0.10237936063223334,-0.016084977781694425,-0.10502364538714916,-0.13599474693003327,-0.07046451988565082,-1.6619327966649435,-1.3050372285616414,-0.7836159682759591,4,51
-0.3696795990270835,-0.1299915435137271,-0.4572451267840895,-0.5765343393144974,-0.16514524671319766,-1.1030695906055568,-0.8747569229372429,-0.6395844286938955,16,44
-0.06264163983573094,-0.013211909924087968,-0.07018209861958406,-0.12547989609854757,-0.08201978699970944,-1.5815971730173728,-1.208601914553703,-1.1605921154450825,4,22
-0.37314485442387674,-0.1262886322617745,-0.4703638454308314,-0.5421834733529386,-0.17238917887005192,-1.0354218287700943,-0.826802706938339,-0.603957326548137,16,59
-0.19444134128610405,-0.05741989149850292,-0.23831229196085033,-0.37133048861817863,-0.14590480628034078,-0.9964653145792943,-0.6648423716577568,-0.4131478038629278,8,34
-0.3854476002972502,-0.11535949128337258,-0.4754254852080423,-0.5711509192665419,-0.1738693064357654,-1.1178790321834562,-0.8866292649216928,-0.653042776794392,16,36
-0.18872437639361106,-0.04995935176896534,-0.24234976045381612,-0.3453531163611725,-0.147240524739264,-0.9918638231225625,-0.6925530831122833,-0.40797039096250726,8,58
-0.33619088086026144,-0.11447399765360577,-0.4271170949871013,-0.5097066059583037,-0.18388481475133606,-1.0209996715841168,-0.7956030595267455,-0.5698508077047449,14,28
-0.3883991570584285,-0.129455247729517,-0.4729675898324636,-0.5760997511523039,-0.14751932502598222,-1.1149581083267457,-0.8791218279707648,-0.6447723137554513,16,48
-0.276694005225621,-0.13973790619164259,-0.3598290348256297,-0.4561781641845432,-0.14137062415147778,-0.9785385073274431,-0.7332987592117566,-0.5117322722170992,14,100
-0.4349628085448771,-0.1058737171686239,-0.5354927790831665,-0.6253721443979899,-0.1454277853705385,-1.1567524236920494,-0.9341790580118088,-0.7029203300156329,18,95
-0.19577728225739238,-0.061941018938549613,-0.23291676908594922,-0.343996924615524,-0.13194370404169348,-1.0010870574236181,-0.6914544270685201,-0.37488378901801034,8,78
