newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
0.363,0.041,0.065,0.05,0.05,0.001,0.016,0.092,16,11
0.387,0.034,0.052,0.042,0.036,0.0,0.01,0.068,18,56
0.458,0.474,0.458,0.346,0.346,0.38,0.38,0.431,2,70
0.425,0.074,0.094,0.082,0.077,0.002,0.041,0.12,12,83
0.466,0.257,0.26,0.221,0.224,0.078,0.147,0.261,6,50
0.413,0.108,0.126,0.101,0.107,0.014,0.061,0.142,10,25
0.501,0.348,0.34,0.291,0.297,0.151,0.212,0.289,4,13
0.353,0.032,0.052,0.053,0.046,0.001,0.022,0.088,16,3
0.514,0.326,0.325,0.27,0.276,0.152,0.202,0.275,4,54
0.42,0.163,0.183,0.154,0.157,0.029,0.092,0.197,8,29
0.412,0.121,0.153,0.121,0.123,0.01,0.057,0.155,10,1
0.512,0.363,0.368,0.283,0.284,0.16,0.212,0.294,4,93
0.43,0.019,0.033,0.028,0.025,0.001,0.008,0.06,18,2
0.498,0.47,0.466,0.337,0.337,0.365,0.365,0.425,2,95
0.525,0.348,0.35,0.31,0.32,0.17,0.237,0.308,4,26
0.499,0.23,0.24,0.208,0.215,0.067,0.137,0.236,6,64
0.45,0.185,0.199,0.179,0.186,0.038,0.113,0.211,8,97
0.433,0.156,0.185,0.149,0.158,0.034,0.089,0.195,8,75
0.47,0.527,0.456,0.335,0.335,0.377,0.377,0.426,2,80
0.368,0.045,0.066,0.06,0.053,0.001,0.019,0.08,16,65
0.534,0.333,0.327,0.284,0.304,0.161,0.217,0.294,4,45
0.517,0.341,0.326,0.308,0.315,0.164,0.224,0.302,4,47
0.378,0.037,0.054,0.047,0.042,0.003,0.014,0.077,16,91
0.392,0.136,0.145,0.116,0.113,0.011,0.068,0.157,10,28
0.527,0.337,0.334,0.299,0.306,0.19,0.235,0.317,4,29
0.389,0.02,0.04,0.035,0.037,0.0,0.011,0.061,18,70
0.35,0.023,0.033,0.038,0.03,0.0,0.008,0.068,18,20
0.48,0.499,0.512,0.332,0.332,0.378,0.378,0.403,2,78
0.521,0.36,0.352,0.295,0.315,0.162,0.227,0.304,4,25
0.478,0.473,0.482,0.339,0.339,0.359,0.359,0.435,2,61
0.365,0.034,0.054,0.054,0.049,0.002,0.012,0.086,18,90
0.367,0.075,0.105,0.078,0.092,0.002,0.035,0.123,12,65
0.395,0.088,0.105,0.095,0.103,0.006,0.049,0.128,12,23
0.442,0.434,0.435,0.32,0.32,0.377,0.377,0.414,2,79
0.405,0.194,0.195,0.148,0.164,0.027,0.096,0.199,8,44
0.489,0.469,0.475,0.33,0.33,0.373,0.373,0.396,2,39
0.424,0.182,0.191,0.159,0.166,0.028,0.095,0.197,8,67
0.358,0.039,0.061,0.051,0.058,0.001,0.019,0.092,16,74
0.408,0.061,0.085,0.078,0.069,0.003,0.03,0.108,14,34
0.349,0.051,0.081,0.07,0.06,0.002,0.023,0.11,14,30
0.504,0.345,0.329,0.297,0.304,0.174,0.227,0.294,4,23
0.377,0.059,0.084,0.075,0.072,0.004,0.028,0.116,14,69
0.457,0.239,0.266,0.229,0.231,0.084,0.167,0.267,6,46
0.411,0.082,0.112,0.085,0.085,0.004,0.029,0.113,12,74
0.391,0.069,0.095,0.077,0.088,0.006,0.041,0.12,12,68
0.365,0.03,0.043,0.035,0.031,0.0,0.012,0.06,18,100
0.499,0.466,0.511,0.341,0.341,0.385,0.385,0.419,2,19
0.436,0.157,0.168,0.124,0.132,0.013,0.066,0.15,8,11
0.379,0.044,0.066,0.066,0.051,0.003,0.022,0.088,14,2
0.455,0.237,0.266,0.219,0.226,0.09,0.163,0.249,6,100
0.525,0.488,0.517,0.316,0.316,0.367,0.367,0.405,2,9
0.451,0.257,0.237,0.193,0.219,0.063,0.121,0.23,6,93
0.383,0.028,0.059,0.064,0.054,0.001,0.019,0.087,16,15
0.511,0.356,0.353,0.317,0.32,0.178,0.239,0.329,4,97
