newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
0.436,0.6086666666666667,0.4066666666666667,0.34,0.35333333333333333,0.28,0.2926666666666667,0.32666666666666666,7500,100
0.2538,0.6154,0.2499,0.2487,0.2663,0.2119,0.2074,0.2338,50000,30
0.4155,0.6075,0.3895,0.2975,0.3145,0.255,0.257,0.3005,10000,98
0.482,0.606,0.436,0.362,0.406,0.312,0.334,0.404,2500,28
0.2497,0.6204,0.2421,0.2486,0.2651,0.213,0.21,0.2337,50000,96
0.486,0.568,0.438,0.406,0.43,0.364,0.37,0.398,2500,45
0.321,0.62875,0.317,0.27075,0.2815,0.2395,0.23525,0.262,20000,36
0.2422,0.6273,0.2396,0.2446,0.2617,0.2057,0.2003,0.229,50000,19
0.49,0.64,0.48,0.38,0.44,0.46,0.46,0.485,1000,72
0.488,0.556,0.434,0.416,0.408,0.33,0.326,0.442,2500,11
0.474,0.602,0.422,0.354,0.398,0.31,0.33,0.382,2500,74
0.2496,0.6173,0.2438,0.2438,0.2595,0.2017,0.1979,0.2274,50000,80
0.30525,0.63775,0.29175,0.266,0.28025,0.23825,0.2355,0.26025,20000,75
0.46,0.595,0.405,0.41,0.47,0.415,0.415,0.515,1000,23
0.4266666666666667,0.6166666666666667,0.386,0.2846666666666667,0.302,0.23466666666666666,0.23933333333333334,0.2806666666666667,7500,90
0.2541,0.6167,0.2484,0.2485,0.2657,0.2093,0.2056,0.2339,50000,94
0.377,0.6175,0.359,0.2935,0.314,0.2555,0.253,0.2935,10000,82
0.2428,0.6287,0.2356,0.2368,0.2524,0.2002,0.1992,0.2207,50000,61
0.396,0.6145,0.37,0.299,0.314,0.273,0.277,0.299,10000,81
0.31925,0.6255,0.30675,0.2695,0.287,0.2395,0.235,0.26775,20000,76
0.4613333333333333,0.6006666666666667,0.4126666666666667,0.3373333333333333,0.35533333333333333,0.28733333333333333,0.3006666666666667,0.34,7500,57
0.2576,0.628,0.2511,0.2506,0.2713,0.2134,0.2081,0.2349,50000,64
0.43466666666666665,0.612,0.39866666666666667,0.33266666666666667,0.34,0.27266666666666667,0.2906666666666667,0.31866666666666665,7500,13
0.29075,0.636,0.282,0.2495,0.266,0.2215,0.21825,0.24325,20000,86
0.465,0.63,0.45,0.375,0.385,0.465,0.47,0.45,1000,100
0.504,0.522,0.504,0.424,0.458,0.324,0.36,0.438,2500,99
0.385,0.58,0.39,0.415,0.43,0.485,0.49,0.435,1000,5
0.44333333333333336,0.5726666666666667,0.404,0.35133333333333333,0.3606666666666667,0.2793333333333333,0.31133333333333335,0.34933333333333333,7500,47
0.47,0.572,0.454,0.394,0.418,0.344,0.354,0.396,2500,62
0.2498,0.6164,0.2458,0.2459,0.2571,0.2102,0.2043,0.2303,50000,76
0.496,0.554,0.468,0.404,0.432,0.344,0.356,0.41,2500,80
0.4226666666666667,0.604,0.394,0.31133333333333335,0.32866666666666666,0.24866666666666667,0.2753333333333333,0.30733333333333335,7500,49
0.4,0.608,0.3815,0.3125,0.3255,0.2645,0.2705,0.3095,10000,57
0.244,0.6149,0.2374,0.2441,0.2595,0.2067,0.2058,0.2288,50000,27
0.43,0.645,0.36,0.365,0.37,0.45,0.45,0.435,1000,45
0.465,0.595,0.495,0.39,0.385,0.44,0.445,0.48,1000,24
0.436,0.526,0.42,0.434,0.498,0.362,0.384,0.434,2500,29
0.462,0.564,0.442,0.39,0.42,0.306,0.322,0.428,2500,84
0.2489,0.6113,0.2437,0.2391,0.2587,0.2084,0.2043,0.227,50000,99
0.43266666666666664,0.596,0.39466666666666667,0.33266666666666667,0.348,0.2786666666666667,0.29333333333333333,0.33,7500,87
0.406,0.6153333333333333,0.39066666666666666,0.31133333333333335,0.3313333333333333,0.264,0.27266666666666667,0.30666666666666664,7500,17
0.476,0.584,0.424,0.362,0.392,0.316,0.348,0.392,2500,76
0.472,0.578,0.442,0.356,0.396,0.3,0.298,0.438,2500,36
0.251,0.6197,0.2434,0.2521,0.2712,0.212,0.2072,0.2347,50000,46
0.2451,0.6158,0.2404,0.2475,0.2577,0.2083,0.2062,0.2304,50000,28
0.45,0.554,0.446,0.378,0.422,0.34,0.358,0.414,2500,59
0.3795,0.6175,0.3635,0.2975,0.308,0.2725,0.2695,0.292,10000,42
0.5,0.572,0.492,0.416,0.418,0.318,0.346,0.438,2500,25
0.2503,0.6223,0.2432,0.2393,0.257,0.2058,0.2038,0.2265,50000,98
0.31675,0.62475,0.3055,0.283,0.292,0.24675,0.24225,0.27425,20000,46
0.462,0.54,0.44,0.394,0.416,0.358,0.378,0.39,2500,68
0.46,0.558,0.438,0.394,0.408,0.332,0.354,0.392,2500,18
0.3945,0.619,0.3665,0.3165,0.334,0.265,0.274,0.3055,10000,70
0.464,0.548,0.44,0.378,0.428,0.332,0.322,0.42,2500,31
0.2591,0.6122,0.2512,0.2569,0.2724,0.2166,0.2096,0.2401,50000,72
0.382,0.606,0.3585,0.31,0.324,0.269,0.2705,0.299,10000,89
0.43,0.6206666666666667,0.38666666666666666,0.312,0.3433333333333333,0.25533333333333336,0.2786666666666667,0.316,7500,2
0.29825,0.63,0.28775,0.25625,0.27175,0.226,0.227,0.252,20000,12
0.40066666666666667,0.6153333333333333,0.37,0.324,0.344,0.2713333333333333,0.2846666666666667,0.316,7500,8
0.2529,0.6205,0.25,0.2487,0.2677,0.2112,0.2086,0.233,50000,31
0.30925,0.62975,0.29925,0.272,0.29275,0.2345,0.23575,0.26625,20000,50
0.484,0.556,0.444,0.39,0.408,0.314,0.326,0.446,2500,50
0.2465,0.6282,0.2409,0.2447,0.2592,0.2067,0.2025,0.2294,50000,69
0.492,0.57,0.438,0.384,0.428,0.316,0.34,0.42,2500,5
0.2553,0.6214,0.2493,0.2491,0.259,0.2111,0.209,0.2341,50000,17
0.3825,0.624,0.357,0.289,0.3145,0.2545,0.2595,0.285,10000,27
0.482,0.582,0.444,0.378,0.402,0.308,0.33,0.428,2500,60
0.42,0.645,0.385,0.365,0.375,0.52,0.525,0.405,1000,31
0.472,0.54,0.444,0.384,0.418,0.268,0.306,0.426,2500,23
0.2445,0.6171,0.2392,0.2425,0.2516,0.2013,0.1946,0.2248,50000,85
0.41,0.62,0.395,0.41,0.49,0.455,0.465,0.435,1000,49
0.31175,0.64075,0.3025,0.26,0.282,0.23075,0.234,0.25875,20000,11
0.318,0.636,0.3085,0.27975,0.2935,0.2415,0.24,0.26725,20000,54
0.368,0.61,0.3505,0.3045,0.323,0.2595,0.2605,0.296,10000,15
0.2484,0.6141,0.2433,0.2397,0.2497,0.2026,0.2017,0.2272,50000,48
0.3785,0.646,0.35,0.2695,0.2905,0.241,0.2485,0.2705,10000,100
0.31125,0.632,0.3005,0.264,0.2885,0.23625,0.23425,0.2605,20000,98
0.29875,0.64,0.2955,0.25925,0.27625,0.23,0.2295,0.25225,20000,32
0.422,0.63,0.386,0.31333333333333335,0.324,0.26,0.2786666666666667,0.31066666666666665,7500,16
0.465,0.69,0.415,0.32,0.495,0.47,0.47,0.405,1000,28
0.455,0.635,0.435,0.375,0.35,0.395,0.395,0.5,1000,75
0.394,0.598,0.377,0.315,0.335,0.2795,0.2935,0.3145,10000,69
0.2437,0.6247,0.2366,0.2398,0.2561,0.2054,0.2061,0.2268,50000,34
0.455,0.67,0.455,0.335,0.42,0.425,0.425,0.495,1000,36
0.475,0.61,0.46,0.425,0.385,0.515,0.515,0.41,1000,80
0.44733333333333336,0.586,0.4126666666666667,0.33666666666666667,0.348,0.274,0.2886666666666667,0.332,7500,53
0.44333333333333336,0.6066666666666667,0.4053333333333333,0.3253333333333333,0.35333333333333333,0.2806666666666667,0.29133333333333333,0.31733333333333336,7500,55
0.4106666666666667,0.6373333333333333,0.38,0.292,0.298,0.24466666666666667,0.256,0.28733333333333333,7500,23
0.2544,0.6168,0.2501,0.2465,0.2671,0.2118,0.2076,0.2324,50000,10
0.44,0.57,0.44,0.395,0.445,0.43,0.435,0.52,1000,55
0.311,0.634,0.30125,0.26425,0.281,0.22925,0.23175,0.25575,20000,90
0.4166666666666667,0.6193333333333333,0.382,0.32266666666666666,0.3373333333333333,0.276,0.28733333333333333,0.31866666666666665,7500,50
0.478,0.59,0.44,0.398,0.42,0.338,0.336,0.43,2500,30
0.416,0.6233333333333333,0.3933333333333333,0.334,0.35133333333333333,0.2613333333333333,0.2786666666666667,0.31866666666666665,7500,71
0.476,0.56,0.446,0.396,0.42,0.31,0.338,0.422,2500,35
0.47,0.556,0.428,0.41,0.436,0.32,0.336,0.44,2500,8
0.448,0.534,0.428,0.432,0.468,0.376,0.372,0.41,2500,34
0.444,0.554,0.41,0.404,0.418,0.348,0.366,0.378,2500,90
