newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
0.505,0.322,0.316,0.2475,0.2625,0.1345,0.176,0.26,10000,88
0.548,0.386,0.384,0.328,0.348,0.184,0.244,0.278,2500,57
0.55,0.414,0.392,0.302,0.338,0.168,0.214,0.268,2500,72
0.456,0.342,0.354,0.378,0.38,0.196,0.264,0.302,2500,38
0.55,0.49,0.455,0.34,0.32,0.2,0.245,0.29,1000,35
0.5,0.345,0.365,0.32,0.32,0.185,0.205,0.235,1000,8
0.5306666666666666,0.31866666666666665,0.312,0.23266666666666666,0.24066666666666667,0.12666666666666668,0.17466666666666666,0.25733333333333336,7500,44
0.468,0.42,0.406,0.394,0.402,0.21,0.278,0.274,2500,53
0.5109,0.397,0.3573,0.2138,0.2384,0.095,0.1256,0.2024,50000,52
0.52325,0.366,0.34525,0.22225,0.244,0.10775,0.1455,0.221,20000,35
0.478,0.38,0.392,0.362,0.372,0.192,0.244,0.256,2500,66
0.5266,0.4095,0.3725,0.2091,0.2344,0.0923,0.1221,0.1997,50000,100
0.5345,0.3475,0.315,0.2435,0.2575,0.119,0.164,0.2465,10000,32
0.525,0.36025,0.3355,0.2145,0.2445,0.106,0.1425,0.2185,20000,52
0.525,0.329,0.32,0.2445,0.2465,0.125,0.168,0.2455,10000,58
0.495,0.41,0.445,0.43,0.35,0.145,0.15,0.255,1000,16
0.49,0.43,0.42,0.39,0.395,0.175,0.195,0.24,1000,40
0.5308,0.4014,0.3601,0.2006,0.2305,0.0883,0.1148,0.1938,50000,68
0.458,0.386,0.396,0.36,0.362,0.194,0.244,0.304,2500,44
0.513,0.3435,0.3265,0.259,0.274,0.141,0.185,0.2675,10000,14
