HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-5.99865,-6.61085,-5.97167,-6.61063,00005,33
-0.0553554,-0.0553554,-0.0553554,-0.0553554,00009,8
-1.86225,-2.92061,-1.91248,-3.23111,00008,4
-37.0924,-43.2008,-37.5961,-47.8557,00010,24
-38.4732,-44.8674,-38.6465,-49.5865,00010,34
-14.2461,-15.2198,-14.2791,-15.4346,00004,18
-1.35004,-1.38787,-1.37651,-1.41033,00002,18
-0.0368191,-0.0368191,-0.0368191,-0.0368191,00009,13
-2.19387,-3.03726,-2.28002,-3.35217,00008,9
-5.72922,-6.57485,-5.70621,-6.57438,00005,18
-39.2533,-46.6932,-39.5042,-52.1224,00010,23
-37.89,-45.3315,-37.7908,-49.479,00010,39
-1.41607,-1.47102,-1.42949,-1.48616,00002,42
-5.76655,-6.62118,-5.74959,-6.62121,00005,45
-14.2434,-15.647,-14.2821,-15.6637,00003,9
-0.0411398,-0.0411398,-0.0411398,-0.0411398,00009,5
-2.84692,-4.59045,-2.74232,-5.09606,00008,2
-14.1933,-15.5435,-14.2387,-15.5577,00003,13
-38.6972,-48.8143,-40.8113,-57.2924,00010,20
-5.75318,-6.571,-5.8046,-6.57063,00005,32
-3.16211,-3.19882,-3.16259,-3.18981,00006,41
-40.3727,-46.8006,-41.9105,-54.1605,00010,43
-37.41,-44.5543,-38.0186,-49.4523,00010,16
-0.0555104,-0.0555104,-0.0555104,-0.0555104,00009,0
-6.04597,-6.6095,-5.97902,-6.60943,00005,22
-2.05884,-2.27102,-2.06729,-2.47508,00008,1
-41.3167,-47.6616,-42.091,-54.1358,00010,9
-14.2607,-15.6706,-14.3087,-15.6845,00003,24
-36.9364,-46.1031,-37.7608,-51.5588,00010,6
-14.2112,-15.2971,-14.2517,-15.5263,00004,32
-2.79707,-4.70201,-2.7266,-5.18428,00008,47
-3.06735,-3.10006,-3.06871,-3.09263,00006,42
-6.00541,-6.61981,-5.95217,-6.61972,00005,13
-36.7526,-45.2524,-38.2717,-51.9668,00010,3
-5.78371,-6.60546,-5.74641,-6.60529,00005,24
-2.47241,-3.88,-2.39901,-4.27114,00008,30
-14.2392,-15.7136,-14.3064,-15.7314,00003,35
-1.41092,-1.37716,-1.38653,-1.33469,00001,46
-1.21866,-1.3033,-1.23089,-1.33471,00002,39
-1.30088,-1.36023,-1.31773,-1.37968,00002,23
-14.1446,-15.1208,-14.1621,-15.3967,00004,31
-1.18131,-1.22874,-1.17293,-1.23086,00001,2
-38.7367,-45.9975,-39.1009,-51.2246,00010,11
-1.34302,-1.36145,-1.33915,-1.36235,00002,24
-14.2291,-15.5233,-14.2553,-15.5375,00003,23
-1.26894,-1.29969,-1.25535,-1.29418,00002,28
-5.84393,-6.56184,-5.84049,-6.5613,00005,41
-14.2323,-15.5747,-14.2646,-15.5908,00003,18
-1.12454,-0.540014,-1.07239,-0.501514,00008,17
-1.12451,-1.10462,-1.12516,-1.09126,00001,27
-1.67666,-1.72669,-1.7296,-1.77803,00001,31
-3.10059,-3.13646,-3.10165,-3.12659,00006,27
-14.2341,-15.3447,-14.2664,-15.5751,00004,44
-1.53276,-1.59814,-1.54117,-1.62011,00002,12
-14.2151,-15.6495,-14.2879,-15.664,00003,1
-14.2705,-15.2719,-14.2942,-15.5651,00004,41
-14.2816,-15.5719,-14.3284,-15.5851,00003,17
-14.2333,-15.3288,-14.2634,-15.5887,00004,1
-3.13347,-3.16884,-3.13409,-3.15868,00006,36
-3.10079,-3.13409,-3.1014,-3.12475,00006,11
-3.46171,-5.46375,-3.37961,-6.07152,00008,32
-3.12529,-3.16356,-3.12561,-3.15313,00006,45
-1.40836,-1.42296,-1.42398,-1.4196,00001,23
-14.2245,-15.195,-14.2446,-15.4025,00004,13
-14.2136,-15.291,-14.262,-15.538,00004,9
-36.1023,-38.7902,-35.8329,-40.1662,00010,5
-1.48175,-1.52345,-1.52082,-1.58232,00001,4
-3.77272,-6.2909,-3.70527,-6.97009,00008,46
-3.06843,-3.1004,-3.06892,-3.09201,00006,6
-1.38855,-1.40468,-1.37439,-1.41184,00001,6
-0.0449412,-0.0449412,-0.0449412,-0.0449412,00009,3
-36.7167,-45.4706,-37.9507,-51.215,00010,25
-5.79874,-6.58666,-5.89766,-6.58651,00005,5
-3.10932,-3.15245,-3.11101,-3.14324,00006,30
-14.1883,-15.1072,-14.2071,-15.2869,00004,34
-36.205,-45.3215,-37.871,-51.7449,00010,44
-38.0881,-43.0427,-37.7834,-46.1128,00010,37
-3.18808,-3.21841,-3.18799,-3.21009,00006,18
-1.42747,-1.47963,-1.43799,-1.49486,00002,43
-3.1417,-3.18481,-3.14311,-3.17406,00006,24
-6.18218,-6.5995,-6.2424,-6.59932,00005,25
